Dominio,Escaneado en,Version TLS,Días restantes,Emisor de certificado TLS,Protocolo de cifrado,Riesgo,Observaciones
jojo.com,2026-03-28 09:22:09,---,,---,---,CRITICO,['No se pudo conectar correctamente al sitio']
k.com,2026-03-28 02:01:18,---,,---,---,CRITICO,['No se pudo conectar correctamente al sitio']
i.com,2026-03-27 23:28:09,---,,---,---,CRITICO,['No se pudo conectar correctamente al sitio']
n.com,2026-03-27 23:28:10,---,,---,---,CRITICO,['No se pudo conectar correctamente al sitio']
amarillo.com,2026-03-27 23:28:12,TLSv1.3,70.0,R13,AES_128_GCM_SHA256,BAJO,[]
verde.com,2026-03-27 23:28:14,---,,---,---,CRITICO,['No se encontró información válida del certificado.']
ga.com,2026-03-28 01:47:27,TLSv1.3,55.0,DigiCert Global G2 TLS RSA SHA256 2020 CA1,AES_256_GCM_SHA384,BAJO,[]
facebook.com,2026-03-28 01:50:42,TLSv1.3,7.0,DigiCert Global G2 TLS RSA SHA256 2020 CA1,CHACHA20_POLY1305_SHA256,MEDIO,['Certificado por vencer (7 días)']
telegram.com,2026-03-28 01:50:45,TLSv1.3,60.0,R13,AES_128_GCM_SHA256,BAJO,[]
telegram.org,2026-03-28 01:50:51,TLSv1.3,168.0,Go Daddy Secure Certificate Authority - G2,AES_256_GCM_SHA384,BAJO,[]
roblox.org,2026-03-28 01:50:58,TLSv1.3,172.0,Amazon RSA 2048 M01,AES_128_GCM_SHA256,BAJO,[]
sandbox.org,2026-03-28 01:51:01,---,,---,---,CRITICO,['No se encontró información válida del certificado.']
diep.co,2026-03-28 01:51:09,---,,---,---,CRITICO,['No se encontró información válida del certificado.']
diep.com,2026-03-28 01:51:18,---,,---,---,CRITICO,['No se encontró información válida del certificado.']
instragram.com,2026-03-28 01:51:27,---,,---,---,CRITICO,['No se encontró información válida del certificado.']
arroz.com,2026-03-28 02:05:46,TLSv1.2,44.0,R13,ECDHE-RSA-AES256-GCM-SHA384,BAJO,[]
face.com,2026-03-28 01:58:52,---,,---,---,CRITICO,['No se encontró información válida del certificado.']
azul.com,2026-03-28 01:59:06,TLSv1.3,35.0,Go Daddy Secure Certificate Authority - G2,AES_256_GCM_SHA384,BAJO,[]
